법정동코드2,시군구명,동리명,관리건축물대장PK,대지면적(㎡),건축면적(㎡),연면적(㎡),구조코드명,주용도코드명,높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,빌딩연차,기타용도,공동주택,공장,단독주택,문화및집회시설,숙박시설,업무시설,위험물저장및처리시설,제1종근린생활시설,제2종근린생활시설,창고시설,시군구명,면적,휴게음식점,일반음식점,제과점,단란주점,유흥주점,사업체수,숙박 및 음식점업 사업체수,RN_COUNT,RN_COUNT_under4,ROAD_BT_MEAN,RN_length_under4,RN_length_under3,RN_COUNT_under3,RN_length_under2,RN_COUNT_under2,RN_under4_rate,RN_under3_rate,RN_under2_rate,비상소화장치_count,소화용수_count,가판대_count,공영주차장수,주차 면(주차 가능 차량 수),건물수,건물구조조,건물구조즙,장소중분류,장소소분류,소방서거리(㎞),안전센터거리,부동산,동산,재산피해소계,관할인구(명),관할면적(km2)
1150010600,강서구,내발산동,11500-100198885,0.0,713.85,5583.54,철근콘크리트구조,공동주택,27.9,10,1,2,0,10,아파트,1763.25,1.25,1529.25,3.25,33.333333333333336,50.666666666666664,5.25,294.75,270.5833333333333,5.166666666666666,강서구,1.975,73.0,217.5,15.0,1.5,1.0,2012.0,244.0,348.5,123.41666666666667,6.616637058708651,74.67762470131422,61.28695436507938,31.833333333333332,58.61764705882353,4.75,0.29676735559088496,0.08121356650768416,0.014109697933227344,5.166666666666667,350.08333333333337,3.0,7.0,146.11363636363637,4057.833333333333,철근콘크리트조,슬라브가,공동주택,아파트,5.7,1.8,0.0,20.0,20,135993,5.95
1150010900,강서구,방화동,11500-3309,0.0,454.35,2685.62,철근콘크리트구조,공동주택,0.0,5,1,0,0,36,아파트,568.25,2.5,1174.7083333333335,0.125,3.0,26.25,9.666666666666668,224.45833333333331,185.375,11.75,강서구,5.175,83.5,281.0,14.25,3.25,2.0,2249.75,296.25,271.125,116.70833333333334,6.713557694775048,290.1196921521036,399.03935185185185,62.41666666666667,761.0041666666667,18.25,0.4239983675548905,0.2288206769480954,0.06679193839399752,3.708333333333333,339.16666666666663,0.5,5.25,130.55357142857144,2241.6666666666665,철근콘크리트조,슬라브가,공동주택,아파트,6.0,1.7,0.0,8.0,8,48404,17.28
1126010500,중랑구,망우동,11260-26557,123.6,61.47,198.73,벽돌구조,단독주택,0.0,2,1,0,0,30,주택,541.0,0.0,3206.0,3.0,14.0,10.0,3.0,333.0,351.0,10.0,중랑구,1.935,53.5,257.0,8.0,10.5,1.0,2485.5,302.0,592.0,363.0,3.7256722972972973,46.98622589531682,39.5364238410596,151.0,0.0,0.0,0.6131756756756757,0.25506756756756754,0.0,16.0,303.0,2.0,3.0,57.33333333333334,4489.0,벽돌조,슬라브가,단독주택,다가구주택,3.8,0.8,0.0,22.0,22,87215,5.71
1156013300,영등포구,대림동,11560-31929,0.0,88.16,443.72,철근콘크리트구조,단독주택,0.0,4,1,0,0,27,"근린생활시설, 다가구주택",567.625,11.125,3751.375,2.0,4.875,24.75,7.5,674.5,369.875,9.25,영등포구,0.615,30.0,253.75,4.5,7.0,0.5,1313.25,256.25,638.25,97.875,7.188470788239539,380.92977170561505,528.408100667071,41.875,1606.4813402777775,10.125,0.14939473888414684,0.06412146607692507,0.01575715837665865,14.375,648.25,3.5,7.625,125.65624999999999,5361.25,벽돌조,슬라브가,단독주택,다가구주택,3.6,0.6,0.0,106.0,106,86721,3.19
1138010700,은평구,응암동,11380-30041,142.0,56.24,177.84,벽돌구조,공동주택,0.0,2,1,0,0,31,다세대주택,1423.0,1.0,2654.0,1.0,10.0,68.0,3.0,401.0,334.0,14.0,은평구,0.87,53.333333333333336,250.0,7.0,13.0,9.666666666666666,1366.0,255.33333333333334,540.0,428.0,3.9537037037037037,1532.3761682242996,1414.666666666667,6.0,204.0,1.0,0.7925925925925926,0.011111111111111113,0.001851851851851852,15.0,519.0,4.0,3.0,127.66666666666669,4927.0,블록조,슬라브가,공동주택,다세대주택,4.9,2.7,0.0,20.0,20,106719,4.4
1150010200,강서구,등촌동,11500-28569,364.15,213.14,1131.97,철근콘크리트구조,공동주택,15.93,5,1,1,0,15,"공동주택,근린생활시설",857.0,28.0,670.0,2.0,3.0,89.0,5.0,175.0,230.0,5.0,강서구,0.7666666666666666,80.33333333333333,223.0,10.666666666666666,2.0,0.0,1762.0,261.0,194.0,67.0,5.479381443298969,56.04477611940299,35.78947368421053,19.0,33.0,3.0,0.345360824742268,0.0979381443298969,0.015463917525773196,4.0,305.0,0.0,2.0,71.5,2190.0,철근콘크리트조,슬라브가,공동주택,다세대주택,2.4,2.4,0.0,45.0,45,163200,6.15
1130510100,강북구,미아동,11305-7718,0.0,56.26,56.26,블록구조,단독주택,0.0,1,0,0,0,51,단독주택,2185.0,8.0,8268.0,3.0,34.0,22.0,6.0,1010.0,456.0,4.0,강북구,0.8799999999999999,58.6,301.6,7.6,6.6,4.0,1539.8,300.6,1718.0,1167.0,3.2216251455180447,38.9083119108826,33.888440860215056,744.0,30.77037037037037,270.0,0.6792782305005821,0.4330616996507567,0.15715948777648428,0.0,644.0,10.0,13.0,64.38461538461539,12129.0,벽돌조,와가,단독주택,단독주택,3.0,1.2,49.0,104.0,153,76971,14.61
1153010700,구로구,개봉동,11530-4386,0.0,1420.59,35245.92,철근콘크리트구조,공동주택,77.8,28,1,6,0,21,공동주택(아파트),1439.0,6.0,2449.0,0.0,6.0,8.0,4.0,372.0,236.0,8.0,구로구,0.9733333333333335,32.0,232.66666666666666,7.333333333333333,8.0,0.6666666666666666,1288.0,206.66666666666666,483.0,198.0,4.7101449275362315,52.14646464646464,41.180722891566255,83.0,53.92857142857142,14.0,0.4099378881987577,0.17184265010351965,0.028985507246376805,7.0,394.0,1.0,4.0,62.25,4458.0,철근콘크리트조,슬라브가,공동주택,아파트,2.5,2.5,0.0,12.0,12,103346,3.79
1150010600,강서구,내발산동,11500-1815,0.0,469.12,6394.66,철근콘크리트구조,공동주택,45.85,17,0,0,2,13,아파트,1763.25,1.25,1529.25,3.25,33.333333333333336,50.666666666666664,5.25,294.75,270.5833333333333,5.166666666666666,강서구,1.975,73.0,217.5,15.0,1.5,1.0,2012.0,244.0,348.5,123.41666666666667,6.616637058708651,74.67762470131422,61.28695436507938,31.833333333333332,58.61764705882353,4.75,0.29676735559088496,0.08121356650768416,0.014109697933227344,5.166666666666667,350.08333333333337,3.0,7.0,146.11363636363637,4057.833333333333,철근콘크리트조,슬라브가,공동주택,아파트,2.8,0.7,0.0,115.0,115,135993,5.95
1174010700,강동구,암사동,11740-2845,1119.7,588.08,1076.6,철근콘크리트구조,공동주택,8.7,3,1,0,0,23,연립주택,965.0,2.0,1601.0,2.0,7.0,20.0,2.0,225.0,169.0,6.0,강동구,1.57,32.333333333333336,134.66666666666666,6.0,2.3333333333333335,0.6666666666666666,1138.0,159.0,287.0,100.0,4.714285714285714,102.98,91.66666666666669,33.0,149.0,7.0,0.3484320557491289,0.11498257839721256,0.02439024390243903,13.0,539.0,2.0,1.0,114.0,2948.0,철근콘크리트조,슬라브가,공동주택,연립주택,3.5,1.1,88.0,28.0,116,72295,4.71
1144011100,마포구,신수동,11440-16452,0.0,790.21,8771.35,철근콘크리트구조,공동주택,34.5,12,1,2,0,20,아파트,89.1,1.7,423.26666666666665,0.8,6.966666666666668,18.366666666666664,0.26666666666666666,89.8,75.7,2.4,마포구,0.8300000000000001,80.5,265.0,10.5,4.5,5.0,1388.5,285.0,99.6,56.93333333333334,4.336553135047859,39.64078362942183,25.913126937062934,32.6,19.94576888888889,9.266666666666667,0.5578069039668658,0.3141539649728551,0.08560676616011327,4.166666666666667,59.333333333333336,3.0,1.5,120.0,679.7333333333332,철근콘크리트조,슬라브가,공동주택,아파트,0.8,0.8,112.0,45.0,157,59818,3.11
1135010300,노원구,공릉동,11350-11218,0.0,82.72,249.98,벽돌구조,공동주택,0.0,2,1,0,0,28,다세대주택,893.0,5.0,1282.0,3.0,3.0,22.0,12.0,325.0,286.0,6.0,노원구,4.115,98.5,351.0,12.5,4.5,0.0,2341.5,399.0,366.0,36.0,7.398907103825136,82.16666666666667,77.0,3.0,0.0,0.0,0.09836065573770493,0.008196721311475409,0.0,7.0,733.0,1.0,5.0,48.4,3106.0,벽돌조,슬라브가,공동주택,다세대주택,1.5,1.3,0.0,20.0,20,83755,8.23
1141010700,서대문구,옥천동,11410-2407,82.6,49.5,147.87,철근콘크리트구조,공동주택,8.1,2,1,0,0,22,공동주택(다세대주택),33.6,0.6,137.4,3.2,0.4,0.6,0.2,47.4,16.4,0.2,서대문구,1.12,32.0,156.0,4.0,2.0,2.0,941.0,196.0,23.4,13.4,3.64070686070686,32.7297775689223,29.41159420289855,9.2,20.547619047619047,3.2,0.5726495726495727,0.3931623931623932,0.13675213675213674,3.0,19.6,1.0,0.0,0.0,185.4,철근콘크리트조,슬라브가,공동주택,다세대주택,4.7,2.0,0.0,24.0,24,51095,2.55
1126010100,중랑구,면목동,11260-5743,115.7,66.17,198.51,벽돌구조,단독주택,0.0,2,1,0,0,26,다가구용단독주택(3가구),1688.0,10.0,8448.0,3.0,15.0,18.0,6.0,1061.0,598.0,14.0,중랑구,1.0050000000000001,36.333333333333336,231.16666666666666,5.333333333333333,4.833333333333333,0.8333333333333334,1691.1666666666667,248.33333333333334,1731.0,1141.0,3.4354194107452343,35.54951796669588,28.221649484536083,582.0,0.0,0.0,0.6591565569035239,0.3362218370883882,0.0,35.0,684.0,1.0,11.0,72.72727272727273,11987.0,벽돌조,슬라브가,단독주택,다가구주택,4.7,1.6,0.0,11.0,11,110238,4.18
