법정동코드2,시군구명,동리명,빌딩연차,관리건축물대장PK,기타용도,구조코드명,대지면적(㎡),건축면적(㎡),연면적(㎡),주용도코드명,높이(m),지상층수,지하층수,세대수(세대),가구수(가구),공동주택,공장,단독주택,문화및집회시설,숙박시설,업무시설,위험물저장및처리시설,제1종근린생활시설,제2종근린생활시설,창고시설,면적대비 생활인구 밀도,2018연간가스사용량,2018연간전기사용량,0-5 시간대 생활인구,6-11 시간대 생활인구,12-17 시간대 생활인구,18-23 시간대 생활인구,시간대별 생활인구 총합계,전체세대수,인구,인구밀도,전체평균연령,65세이상인구수,65세이상인구비율,휴게음식점,일반음식점,제과점,단란주점,유흥주점,사업체수,건물수,fire_YN
1111010100,종로구,청운동,74,11110-19792,주택,일반목구조,0.0,92.56,92.56,단독주택,0.0,1,0,0,1,37.7,0.2,157.4,18.8,0.0,2.3,0.0,15.6,27.6,0.7,2529182.88,41855040.0,47290564.0,35400000.0,40900000.0,44400000.0,35500000.0,156000000.0,5405.0,13293.0,5172.0,42.8,2162.0,0.162641992,76.0,257.0,5.0,0.0,0.0,1016.0,156.8,1
1111010100,종로구,청운동,63,11110-1297,주택,일반목구조,0.0,26.45,26.45,단독주택,0.0,1,0,0,1,37.7,0.2,157.4,18.8,0.0,2.3,0.0,15.6,27.6,0.7,2529182.88,41855040.0,47290564.0,35400000.0,40900000.0,44400000.0,35500000.0,156000000.0,5405.0,13293.0,5172.0,42.8,2162.0,0.162641992,76.0,257.0,5.0,0.0,0.0,1016.0,156.8,1
1111017400,종로구,창신동,24,11110-13419,단독주택,벽돌구조,42.78,19.83,19.83,단독주택,3.6,1,0,0,1,302.0,12.0,1701.0,3.0,18.0,10.0,0.0,401.0,404.0,14.0,15165485.910000002,56781708.0,51403670.0,25333333.333333332,24166666.666666668,24766666.666666668,24500000.0,98733333.33333333,3341.3333333333335,7897.0,30327.0,46.699999999999996,1330.0,0.1697415276666667,20.666666666666668,145.0,3.6666666666666665,2.0,4.666666666666667,1145.6666666666667,2420.0,1
1111017500,종로구,숭인동,29,11110-25183,주택,벽돌구조,151.81,75.06,253.0,단독주택,9.4,3,1,0,7,255.0,5.0,1145.0,2.0,18.0,39.0,0.0,206.0,274.0,8.0,17043219.46,39244233.0,45924717.0,27000000.0,29900000.0,33600000.0,28700000.0,119450000.0,4367.5,8405.5,29026.5,45.3,1373.5,0.164705552,25.5,160.5,2.5,6.0,7.5,1159.5,1631.0,1
1111018300,종로구,평창동,15,11110-29256,단독주택,철근콘크리트구조,488.0,142.22,398.23,단독주택,9.6,2,1,0,2,224.0,1.0,810.5,31.5,1.0,3.5,2.0,57.0,57.0,1.0,831454.34,23054313.0,24445111.0,48100000.0,45800000.0,40500000.0,42400000.0,177000000.0,7552.0,19105.0,2154.0,43.8,3173.0,0.166082177,55.0,148.0,5.0,5.0,2.0,739.0,1134.5,1
1111018600,종로구,신영동,45,11110-5642,주택,벽돌구조,0.0,0.0,74.38,단독주택,0.0,1,0,0,1,77.0,0.333333333,372.6666667,3.666666667,0.0,2.0,0.333333333,26.33333333,53.0,0.333333333,2404552.13,22010356.0,11954774.0,31900000.0,32800000.0,33500000.0,32600000.0,131000000.0,4295.0,10537.0,4642.0,44.2,1744.0,0.165512005,59.0,136.0,6.0,0.0,0.0,567.0,482.0,1
1114012100,중구,회현동1가,27,11140-4344,다세대주택(7세대) 및 제2종근린생활시설(사무소),철근콘크리트구조,281.96,116.62,530.28,공동주택,12.0,4,1,7,0,2.6847826085,0.2173913045,51.12173913,0.8195652175,2.539130435,7.5152173915,0.0717391305,38.14347826,41.210869564999996,1.204347826,13758868.45,269243659.0,420170238.0,26600000.0,83550000.0,132500000.0,62250000.0,304500000.0,2331.5,4711.0,5295.5,50.650000000000006,1012.0,0.2108258475,395.5,999.0,26.5,8.0,20.0,8097.5,108.46304347826086,1
1114014400,중구,장충동2가,58,11140-9207,단독주택,일반목구조,60.5,53.35,73.87,단독주택,5.1,2,0,0,2,40.0,2.3939393939999998,156.3030303,1.1363636365,2.5151515155,9.5,0.681818182,49.21212121,55.90909091,1.5454545455000002,4866486.07,121882374.5,113144870.0,23350000.0,38250000.0,49250000.0,32800000.0,143500000.0,2498.0,5349.0,4291.0,43.95,791.5,0.148552344,85.5,319.0,7.5,1.5,19.0,1965.0,263.2121212121212,1
1114016200,중구,신당동,34,11140-15550,"근린생활시설, 다가구주택",철근콘크리트구조,238.0,118.62,671.0,단독주택,16.1,5,1,0,3,773.6666666666666,17.0,3124.5555555000005,6.222222222166667,3.6666666666666665,66.055555555,3.5555555555,799.6666666666666,498.94444445,12.0555555555,14382898.555,234653837.5,222564339.5,37350000.0,35983333.333333336,35333333.333333336,36700000.0,145300000.0,5720.166666666667,13043.166666666666,32643.333333333332,44.46666666666667,2159.5,0.16202570800000002,46.833333333333336,177.16666666666666,4.5,4.0,1.5,2889.6666666666665,4871.666666666667,1
1117010100,용산구,후암동,44,11170-24708,공동주택,철근콘크리트구조,0.0,288.53,1904.8,공동주택,0.0,6,1,20,0,414.0,1.0,1645.0,2.0,3.0,7.0,1.0,159.0,125.0,4.0,6637596.9,16988565.0,13284297.0,36900000.0,34400000.0,31900000.0,34000000.0,137000000.0,8560.0,18703.0,21748.0,43.5,2941.0,0.15724749999999998,34.0,157.0,3.0,0.0,0.0,859.0,2210.0,1
